acc_x,acc_y,acc_z
-0.795,0.305,0.182
-0.001,0.41,-0.126
-0.609,0.534,-0.019
-0.412,0.578,-0.058
-0.316,0.362,-0.283
-0.683,1.116,-0.19
-1.276,0.852,-0.444
-0.081,0.948,0.187
-0.338,1.649,-0.481
-0.62,-1.135,0.042
1.167,-0.19,-0.464
0.187,-0.707,-0.01
-0.356,-0.189,0.002
-0.473,1.104,-0.374
-0.756,-0.83,0.404
0.398,1.953,-0.171
-0.698,-1.14,0.508
1.804,0.951,0.589
-0.498,-1.371,0.535
1.493,0.963,1.032
-1.486,0.063,0.632
1.196,-0.72,1.408
0.011,0.2,1.054
0.025,-0.521,0.575
0.957,0.459,1.419
-0.314,-0.355,-0.196
-0.173,0.103,1.603
0.251,-0.167,0.304
-1.24,-0.243,0.093
2.722,-0.308,0.656
0.548,-0.1,-0.375
-0.119,0.056,-1.33
-1.229,0.189,1.357
0.527,0.935,-0.23
-0.916,1.16,-1.803
-1.301,-0.371,-0.253
-0.177,0.494,-0.447
-0.59,0.477,-0.756
-0.277,-0.16,0.106
0.075,0.066,-0.302
-0.093,0.107,-0.068
-0.081,0.115,-0.115
0.104,-0.23,0.027
-0.081,-0.065,0.232
-0.045,-0.12,0.104
-0.023,0.002,-0.234
-0.48,-0.124,-0.116
0.365,-0.002,-0.095
-0.879,0.16,-0.515
1.012,-0.005,0.079
-1.496,0.771,-0.269
-1.785,1.406,-1.372
0.231,0.827,-0.652
-0.283,0.68,-1.617
1.334,-0.646,-2.274
1.931,-1.598,-1.958
-1.475,4.305,-1.379
-14.211,-6.186,4.501
1.717,0.965,0.025
3.373,1.355,-0.904
1.258,0.674,0.886
0.56,0.928,2.044
-0.373,-1.053,3.27
-1.587,-1.682,4.465
-0.496,-1.311,10.141
-1.909,0.628,11.607
2.874,6.648,12.557
11.601,11.844,10.95
7.688,8.183,11.288
-0.478,21.311,6.578
-8.535,27.073,4.859
-4.699,17.969,-9.118
-13.53,8.71,-13.15
-7.5,2.943,-4.076
0.526,0.08,-2.367
-0.484,0.489,-0.439
1.3,0.33,-0.325
-0.857,0.513,0.321
0.543,0.397,0.234
0.262,-0.075,0.311
0.073,0.4,1.049
0.409,-0.069,0.354
0.362,0.134,0.413
0.105,0.369,0.129
-0.487,-0.079,-0.127
-0.521,0.981,-0.066
-0.766,0.933,-0.35
0.002,0.194,0.287
-1.632,0.689,0.969
-0.187,1.46,0.404
-0.302,-0.622,0.653
0.222,-0.508,0.074
-0.253,-0.599,0.01
-0.844,0.449,-0.303
-0.419,1.078,-0.992
-1.609,0.148,-0.134
1.68,0.837,-0.248
-1.08,-0.938,0.149
1.66,0.619,-0.61
-0.717,-0.43,0.768
0.061,0.416,-0.211
0.602,0.572,0.883
-0.218,-0.676,0.783
0.178,0.699,1.498
0.712,0.078,1.433
-0.549,0.398,1.834
-0.2,-0.226,0.52
0.767,0.115,1.166
0.309,-1.351,-0.401
0.644,0.69,0.819
-0.861,-0.089,0.192
1.101,-0.265,0.36
-1.485,1.201,0.39
0.165,0.019,-1.278
-0.195,-0.494,0.432
0.994,-0.395,1.182
-0.998,1.065,-0.104
-1.875,0.348,-2.751
-0.199,0.556,-0.094
-0.334,0.216,-0.263
-0.016,0.247,-0.409
-0.788,-0.165,0.045
-0.106,0.122,0.045
0.121,0.183,-0.263
-0.432,-0.088,-0.115
0.223,-0.081,0.007
-0.268,-0.158,0.824
0.544,0.327,-0.51
-0.242,0.052,-0.461
-0.289,0.549,-0.037
-1.175,-0.455,-1.11
-1.707,1.486,-1.147
0.481,0.129,0.01
1.037,-1.466,-1.714
1.13,-0.497,-2.486
-6.338,8.392,1.074
8.824,0.007,-3.202
-0.909,3.186,-2.896
0.573,0.928,-0.312
0.199,1.901,0.317
1.461,0.894,1.951
0.62,-0.167,1.883
-0.775,-3.79,4.274
-1.192,-3.333,11.741
-2.439,0.802,11.948
2.647,6.88,13.522
4.254,10.747,8.479
11.274,15.731,9.022
8.406,10.742,5.89
11.009,19.02,-4.417
-8.665,13.342,18.187
-23.159,10.872,-15.707
-6.411,2.861,-2.949
-3.849,1.521,-1.074
-0.917,1.201,-1.482
0.679,0.04,-0.865
0.38,0.318,0.507
0.633,0.209,-0.564
0.049,0.359,0.074
-0.367,0.054,0.677
0.356,0.118,0.112
-0.7,0.07,0.415
-0.284,-0.13,0.014
-0.719,0.403,0.139
0.321,0.171,-0.035
-0.619,0.786,-0.44
-0.39,-0.132,-0.088
-1.027,2.179,0.142
-0.607,-0.603,0.213
0.101,-0.211,0.353
-0.553,0.773,-0.788
0.579,0.199,0.38
-0.119,-0.075,-0.139
-0.425,1.158,-0.951
-1.127,0.745,0.167
-0.456,0.309,-0.309
0.835,1.704,-0.21
-1.272,0.003,0.559
1.213,-0.618,0.145
0.728,-0.048,-0.257
0.192,-0.782,0.599
-0.313,0.744,0.43
0.208,-0.954,-0.683
-0.299,1.013,2.419
-0.18,0.155,-0.358
0.363,0.192,3.116
-0.108,-1.077,-0.465
1.217,1.076,0.273
-1.387,0.675,1.182
0.406,0.032,0.192
0.005,-0.711,1.163
0.596,-1.135,-0.166
1.982,-0.323,-2.082
0.467,-0.739,-0.707
-0.7,0.488,0.145
-0.313,-0.127,1.542
-0.867,-0.147,-1.147
-0.499,1.466,-2.059
-0.071,0.418,-0.317
-0.699,-0.129,-0.079
-0.286,0.037,-0.337
-0.67,0.206,-0.199
0.352,-0.006,-0.329
-0.195,-0.078,0.11
0.395,-0.223,0.282
-0.901,0.319,-0.4
0.439,0.187,-1.019
-1.151,0.049,0.936
0.204,-0.341,0.016
0.437,-0.057,0.025
-0.077,0.15,-0.174
0.167,1.615,-1.678
-3.267,0.317,-0.056
0.531,-0.275,-0.568
-0.271,-1.785,-1.84
0.147,-0.673,-1.609
0.221,1.056,-0.92
-11.315,11.865,3.962
10.434,0.202,-2.62
1.807,1.435,-2.443
-0.38,0.217,-0.385
0.563,0.704,0.523
1.562,0.264,3.667
0.997,1.117,1.087
-1.519,-2.037,4.037
-0.205,-3.136,5.066
-0.477,2.33,12.037
-7.107,4.863,8.485
0.937,9.475,5.252
14.631,7.429,9.702
6.385,10.196,11.154
0.315,10.854,-13.144
1.07,28.049,0.14
2.442,13.298,-5.297
-11.011,9.388,-17.13
-1.377,2.248,-3.066
-3.254,1.183,-4.075
-0.572,0.614,-0.96
0.775,0.152,-0.479
1.085,1.068,0.914
0.65,0.494,-0.235
0.487,-0.793,0.659
-0.148,1.331,0.797
-0.106,0.551,-0.072
-0.06,0.015,0.371
-0.011,0.716,-0.226
-0.353,0.015,-0.126
-0.149,0.506,-0.324
-0.233,0.503,-0.352
-0.182,0.55,0.699
-0.729,-0.017,-0.755
-0.624,-0.005,-0.384
-0.632,-0.416,-0.811
1.271,0.101,0.189
-0.599,0.527,-0.054
-0.256,-0.911,0.425
-1.565,1.238,0.293
0.405,1.136,-0.213
-0.59,-1.146,-0.031
0.56,1.978,-0.753
-1.429,0.094,0.383
0.055,0.507,-0.08
0.401,0.845,-0.329
-1.679,-0.821,0.583
1.794,-0.026,-0.17
-0.817,-0.161,0.505
1.974,0.725,1.069
-0.642,-1.112,0.404
0.455,1.069,0.827
-0.936,-0.561,1.996
1.695,-0.294,-0.287
1.256,-0.042,2.134
-0.823,0.032,-0.063
0.026,1.03,0.422
-0.567,1.015,-0.176
0.074,0.031,0.665
1.295,-0.469,0.764
0.547,-1.083,0.461
2.875,-0.118,-1.579
-1.037,0.089,-1.797
-1.966,0.743,0.161
-0.972,-0.095,0.099
0.268,0.548,-0.195
0.755,0.329,0.158
0.277,-0.234,-0.367
-0.482,0.281,-0.294
-0.565,0.279,-0.505
-0.468,0.34,-0.451
-0.324,0.097,-0.447
-0.051,0.167,-0.164
-0.009,-0.298,0.2
