acc_x,acc_y,acc_z
0.916,0.155,0.685
-0.793,0.526,0.841
0.378,0.58,-0.427
2.509,-0.084,-1.552
-2.498,0.782,-0.441
-0.635,1.134,-1.006
-0.879,-0.262,-0.427
-0.708,0.456,-0.287
0.044,0.396,-0.574
-0.134,-0.052,-0.091
-0.48,0.076,-0.041
-0.132,0.362,-0.061
-0.095,-0.155,-0.249
-0.585,0.017,-0.163
-0.243,-0.012,-0.256
-0.048,0.179,-0.234
-0.253,-0.069,0.117
0.022,-0.085,-0.125
-0.251,0.038,-0.136
-0.298,0.019,-0.213
-0.219,-0.079,-0.071
0.394,0.038,-1.597
1.166,0.857,0.921
0.931,0.138,1.053
4.681,-0.468,2.675
5.77,-0.527,5.623
7.597,-3.723,9.335
-0.554,0.759,1.332
0.809,9.397,-4.99
3.382,2.721,7.809
-9.346,8.705,-0.292
-4.571,4.892,-6.851
-2.619,-0.037,0.165
-2.271,1.116,-1.861
-1.349,-0.674,0.105
-0.085,-0.138,0.195
-0.341,-0.697,-0.094
0.358,-0.933,0.568
0.351,-0.275,0.213
-0.287,-0.675,-0.016
0.268,-0.077,0.205
-0.915,-0.169,-0.335
0.128,0.003,0.192
-0.195,0.092,0.408
-0.295,-0.42,-0.125
-0.651,-0.227,-0.043
-0.736,0.012,-0.236
-0.32,0.072,0.27
-0.702,0.638,-0.266
-0.618,-0.029,0.09
0.03,0.096,0.108
-0.43,0.647,-0.282
1.308,-0.744,0.335
-0.648,-0.119,-0.022
0.772,-0.225,0.229
-0.542,0.951,1.061
0.15,-0.01,-0.19
-0.096,0.374,0.57
0.37,0.188,0.616
0.166,0.022,0.764
-0.077,0.038,1.432
0.634,-0.926,0.922
0.729,-0.095,1.943
0.796,-1.126,1.701
1.052,0.518,0.313
-1.693,-0.039,-0.013
1.786,0.513,0.255
0.569,-0.409,-0.347
0.038,0.275,-0.474
-2.111,-0.14,0.051
0.014,0.273,-0.395
0.067,0.569,-1.248
-0.098,0.45,-0.578
-0.496,0.198,-0.383
-0.142,0.027,-0.072
-0.381,0.032,0.002
-0.14,0.088,-0.24
-0.536,0.029,-0.194
-0.188,-0.037,-0.164
-0.042,0.21,-0.31
-0.299,0.208,-0.255
