acc_x,acc_y,acc_z
0.365,0.49,-2.069
0.55,-0.574,-0.784
1.459,0.763,-0.266
-0.086,4.922,2.408
0.004,-2.682,3.516
-1.298,0.785,3.62
0.581,-0.611,2.938
0.609,-1.412,6.863
4,-2.249,7.809
11.842,0.136,9.644
9.993,2.763,12.725
6.735,15.912,12.841
6.408,19.975,3.42
-23.636,30.287,5.748
-23.979,19.917,-14.807
-4.771,3.666,2.17
-10.203,5.207,-4.799
-0.341,0.031,-1.618
0.834,0.402,0.44
0.119,0.056,0.995
0.698,0.49,-0.019
0.066,0.348,-0.014
0.471,0.701,0.566
0.123,0.7,0.637
-0.24,-0.286,0.001
-1.505,1.763,0.097
-0.199,0.395,0.112
-2.226,2.278,-0.259
0.373,0.961,0.442
-2.39,-0.722,0.356
1.816,1.626,-1.056
-0.952,-0.521,0.299
0.425,1.328,-0.194
1.924,-1.471,-0.654
0.701,-0.022,0.702
0.948,-0.509,-0.227
0.532,0.379,0.797
0.195,0.407,1.209
-0.146,-0.674,-0.13
0.969,0.166,0.714
0.062,0.196,0.929
0.064,-0.198,0.695
0.494,-0.057,0.863
-0.418,-0.011,1.065
0.814,-0.259,-0.857
0.284,0.306,-0.552
-0.122,0.161,-0.219
0.371,-0.084,-0.35
-0.762,-0.054,0.263
0.034,0.283,0.188
-0.51,0.645,-0.501
-0.544,0.587,-0.453
-0.046,0.149,-0.178
-0.368,0.086,0.035
-0.469,-0.145,-0.066
-0.5,0.262,-0.388
-0.351,-0.004,-0.08
0.079,-0.039,-0.026
-0.304,0.16,-0.087
0.382,0.117,0.078
-0.219,-0.241,-0.03
-0.042,0.39,-0.133
1.083,0.186,-0.884
-1.975,1.01,-0.564
-1.094,0.168,-1.285
-1.462,1.64,-1.218
0.597,0.549,-1.985
-1.063,0.832,-0.647
0.605,0.808,-0.378
-0.772,-0.843,0.198
-0.678,2.94,1.603
0.083,-1.627,1.459
0.47,0.244,2.16
-0.55,-0.265,2.193
0.223,-0.304,4.131
3.029,-1.636,8.712
4.387,0.18,9.329
10.602,0.118,15.795
6.905,12.834,9.605
8.782,13.879,13.651
7.194,28.026,15.892
-35.592,30.367,-22.054
-7.965,11.8,6.954
-7.739,3.751,-2.934
-3.59,1.843,-2.46
-0.706,0.744,0.356
3.593,-0.537,0.945
-0.335,2.302,0.199
0.415,0.433,0.166
-0.034,0.497,0.168
-0.242,1.973,0.525
-0.696,0.199,-0.187
-0.989,1.001,0.411
-1.428,2.024,0.032
0.666,1.739,0.157
0.792,-0.58,0.161
-0.786,0.779,0.036
1.84,0.929,-0.066
1.837,-0.073,0.088
-0.978,0.785,-0.16
1.156,0.685,1.082
0.722,0.778,1.265
1.393,-0.24,0.237
0.264,-0.459,0.823
1.203,-0.452,1.172
-1.258,-0.331,0.349
0.167,0.112,1.556
2.048,0.269,-0.192
-0.845,1.083,0.565
1.05,-0.134,-1.166
-1.052,0.108,-0.113
-1.317,0.218,-0.737
-0.529,0.66,-0.208
-0.803,0.207,-0.535
-0.6,0.353,0.126
-0.398,0.038,0.006
-0.041,0.101,0.136
0.176,-0.25,-0.006
-0.442,0.027,0.249
0.752,-0.324,-0.074
1.138,0.338,-0.634
-2.865,1.355,-0.404
0.031,0.565,-0.608
0.409,0.701,-0.446
-0.283,0.43,-0.959
0.113,-0.516,0.261
-1.297,1.224,-2.969
-0.549,1.12,-1.729
0.624,0.428,-0.272
-0.75,3.001,2.926
-0.226,-0.287,1.009
0.226,0.37,3.01
0.503,-0.807,2.054
2.301,-1.954,4.446
3.87,-1.181,7.381
4.611,2.274,9.257
12.344,3.889,13.774
4.012,11.403,6.699
10.514,24.313,17.852
-22.702,28.914,-17.586
-7.726,9.714,0.624
-4.955,1.863,-3.802
-0.782,0.091,-0.727
2.099,-1.763,-0.29
0.614,1.893,0.029
0.521,0.647,0.817
-0.519,1.26,0.78
-1.503,0.869,0.241
-2.249,0.572,0.16
-1.618,-0.533,0.61
0,1.979,0.138
0.408,0.653,0.189
-1.434,-1.617,0.654
1.572,1.322,-0.257
0.557,-0.442,-0.588
0.61,0.564,1.471
1.636,1.051,0.056
-0.532,1.002,0.896
0.24,-0.18,0.441
1.473,-0.302,0.802
0.399,0.277,1.852
0.892,-0.594,0.304
-0.029,-0.241,-0.869
-0.441,-0.017,-0.526
-1.499,-0.088,-0.721
1.118,0.604,-0.964
-0.48,0.985,1.035
0.348,-0.567,-0.181
-1.088,0.462,-0.101
-1.958,0.683,-0.871
-0.13,0.235,-0.325
0.311,-0.014,0.042
-0.397,0.173,0.016
-0.024,-0.036,-0.175
-0.14,0.168,-0.118
0.055,-0.093,0.048
0.291,0.013,-0.025
-0.988,0.568,-0.942
-0.293,0.168,0.5
-0.844,1.694,-0.956
-0.037,0.827,-1.222
1.518,-0.532,-0.376
-0.744,-0.415,-1.165
-0.571,0.629,-3.491
-1.598,1.264,-3.813
-4.187,6.93,1.864
3.758,4.013,-0.467
0.466,3.534,1.765
1.327,1.463,3.77
-0.061,0.461,3.904
-0.054,-0.338,7.066
1.271,-0.995,10.27
0.798,1.332,8.987
5.814,2.292,7.335
11.279,2.71,10.994
5.544,16.401,16.369
-0.811,13.844,6.778
13.752,32.932,6.483
0.835,20.176,-0.227
-24.282,14.064,-5.564
-8.006,3.988,0.458
-8.544,2.43,-3.091
1.346,0.632,-0.106
-0.138,0.739,0.713
1.493,1.247,0.582
-0.706,0.367,0.513
-2.514,1.653,0.946
-0.873,2.219,-0.06
-1.619,0.158,1.2
0.445,0.378,0.562
1.836,0.177,-0.568
3.06,1.429,-1
-0.778,-0.751,-0.075
-0.398,1.639,0.618
0.969,1.149,0.394
0.744,0.304,0.743
1.04,0.863,1.454
0.436,-0.054,1.438
0.217,0.231,0.5
1.253,0.164,1.202
0.623,-0.259,0.014
-0.826,-0.122,0.191
-1.365,0.236,0.564
0.708,0.274,0.781
0.557,0.773,0.043
-0.419,0.64,0.74
0.333,0.569,-0.761
-2.825,0.618,-1.049
0.04,0.052,-0.234
-0.157,0.069,0.12
0.319,-0.063,-0.309
-0.803,0.059,0.175
-0.482,0.437,0.233
0.464,-0.126,-0.027
-0.191,-0.466,-0.041
-1.725,0.457,-0.033
-0.251,1.591,-0.797
-1.256,1.677,-2.07
-0.499,1.571,-0.682
-0.186,-0.994,-0.813
-0.731,-0.13,-2.757
-0.78,3.253,-1.785
-2.434,7.329,2.461
3.165,3.706,1.41
-0.113,3.695,2.917
-17.399,11.666,5.193
0.748,-5.856,7.439
-2.845,-1.941,8.444
0.272,-3.733,0.698
0.915,4.689,-6.417
-1.287,-1.009,-4.819
-3.489,1.699,-3.847
-2.931,-0.059,-1.089
-1.793,0.989,-2.252
-0.704,-0.781,-1.239
-0.59,-0.752,2.36
3.658,0.324,6.251
9.517,3.61,5.361
15.651,-1.163,14.413
5.495,10.344,8.153
4.132,10.476,1.156
1.872,14.813,4.765
-11.508,25.825,-9.569
-3.321,5.349,3.31
-10.017,4.483,-3.296
-1.515,0.381,1.028
-0.819,-0.021,-1.816
0.573,0.617,1.399
-0.027,1.206,1.218
-0.036,2.741,1.251
-0.518,0.224,0.856
0.76,0.687,0.288
2.007,0.461,-0.334
3.227,0.316,-1.952
-0.985,0.194,0.778
1.611,0.773,1.193
0.779,-1.602,-0.681
0.386,-0.089,0.024
0.797,0.754,1.016
0.359,0.326,0.469
0.364,-0.048,0.238
-0.318,-0.479,0.913
1.431,-0.243,0.283
-0.27,0.35,0.708
-0.981,0.855,0.382
-1.004,0.822,-0.801
-0.281,0.306,-0.081
-0.134,-0.131,-0.537
0.145,-0.023,0.166
-1.388,0.056,0.047
0.18,1.191,0.765
0.896,-0.177,0.707
1.083,0.138,0.175
-0.701,-0.602,0.064
0.352,-0.5,0.166
-0.334,0.102,0.782
-0.109,0.35,-0.901
-0.939,-0.058,-0.556
-1.448,1.325,-0.771
-0.365,-0.114,-1.219
0.645,0.044,-0.483
-0.919,0.133,0.179
0.037,-0.035,-0.037
0.702,-0.119,0.259
0.664,0.181,-0.157
0.273,-0.355,0.459
0.392,0.6,-0.356
-0.575,0.574,-0.938
-1.771,2.476,-1.319
-1.953,0.528,-1.92
-0.323,-0.056,-2.345
0.849,1.779,0.449
0.006,1.269,1.433
1.06,1.695,1.379
-0.942,0.926,2.893
0.971,-0.067,2.533
0.506,-1.519,3.071
0.649,-1.642,2.186
0.951,-1.521,4.775
3.778,-0.187,5.858
10.097,4.678,12.725
11.663,-0.144,9.306
7.454,38.435,-2.819
2.947,29.076,22.085
-22.628,14.817,-17.593
-8.518,5.917,-4.552
-5.229,4.314,2.154
-1.325,0.222,-2.599
3.651,0.129,2.09
-1.147,0.407,-0.038
2.01,0.508,1.338
-0.779,0.983,0.407
-2.085,1.216,0.211
-1.458,1.81,0.366
-2.034,0.045,-0.064
-1.326,2.347,0.597
0.056,-0.15,-0.819
-1.005,1.137,0.009
0.691,0.824,-0.842
0.541,-0.941,-0.231
1.75,-0.182,-1.088
1.256,0.445,0.408
1.715,0.517,0.921
-0.087,0.017,0.238
0.658,-0.211,1.899
0.53,-0.878,0.241
0.855,0.729,0.708
-0.747,0.134,0.401
-1.773,1.257,0.427
2.005,-0.655,-0.3
0.332,-0.141,-0.456
-0.377,-0.439,-1.482
0.354,0.096,-1.016
-0.102,1.587,1.592
-0.722,-0.247,-0.583
-0.375,0.108,-0.768
-0.6,0.282,-0.143
-0.327,0.385,0.087
0.767,-0.407,-0.012
-0.393,0.37,-0.067
-0.87,-0.146,-0.232
-0.24,0.16,-0.279
-0.35,-0.163,0.114
-0.32,0.561,-0.713
-0.014,0.539,-0.31
-0.303,0.721,-0.51
-0.262,0.168,-0.23
-1.323,1.772,-1.673
-1.406,0.339,-2.198
0.012,0.431,-1.212
-0.318,1.798,-0.291
0.408,1.867,0.535
1.247,1.56,1.917
0.629,1.536,2.427
0.64,0.335,4.289
4.486,-1.875,9.527
5.883,1.418,9.807
10.008,4.737,9.522
13.847,15.685,6.252
8.789,30.459,7.581
-4.295,16.836,-5.082
-17.333,14.602,-1.031
-11.644,3.971,-0.013
-2.111,3.013,0.234
1.544,-1.296,-0.198
-0.855,1.25,-0.274
0.465,0.928,-0.411
-0.607,1.272,0.531
-0.613,0.853,0.36
-1.22,1.728,-0.353
0.127,1.144,0.347
-1.791,0.589,0.532
-1.642,1.414,-0.536
0.307,0.228,0.404
-1.834,2.329,0.191
1.464,-0.611,-1.056
-1,1.046,0.075
1.495,0.081,-0.025
-0.046,0.801,0.877
0.02,0.665,-0.878
1.17,0.262,-0.171
1.727,0.948,1.687
-1.438,0.051,-0.381
1.7,1.016,0.761
-0.247,-0.071,1.968
1.909,-0.77,0.057
-1.031,0.188,0.154
-0.344,-0.009,-0.05
0.025,0.016,-0.222
0.236,-0.379,-1.126
-0.532,0.075,-0.05
0.396,-0.096,-1.211
0.093,-0.353,-0.477
0.005,0.599,0.258
-0.015,0.339,-0.154
-2.645,0.381,-0.88
0.396,0.554,-1.314
0.336,0.019,-0.309
-0.569,-0.225,-0.163
-1.291,0.255,-0.203
0.054,0.3,-0.571
0.256,0.708,-0.23
-0.895,1.416,-1.016
-0.449,0.029,-1.134
-1.653,0.681,-2.472
-0.342,-0.006,-2.327
-0.684,0.852,-1.591
0.642,1.448,0.387
1.184,2.041,1.359
0.772,1.61,3.59
0.817,0.969,4.039
0.897,-0.409,5.454
1.617,-1.252,4.663
4.43,0.534,3.259
9.164,5.703,9.642
5.093,8.18,8.683
-0.003,12.09,2.35
-7.3,13.727,6.65
-15.044,14.931,-6.936
-4.772,5.537,-0.168
-6.004,2.487,-2.45
-0.196,1.265,-1.04
-0.528,0.88,-0.47
1.769,1.417,0.231
-0.428,1.459,-0.101
0.871,0.914,0.859
0.282,0.922,0.41
-0.031,1.062,-0.011
0.263,1.036,-0.424
-1.032,1.289,0.386
-1.177,1.496,0.737
0.817,0.534,-0.093
-2.264,0.849,0.949
0.552,0.546,-0.255
-0.039,0.902,-0.636
0.779,0.06,0.561
0.56,1.105,-0.523
0.243,0.266,-0.556
-0.258,0.629,-0.065
