acc_x,acc_y,acc_z
0.285,-0.076,0.135
-0.038,0.162,0.224
-0.104,-0.116,0.123
-0.137,-0.023,0.036
-0.015,-0.11,0.039
-0.124,0.31,-0.177
-0.041,0.121,-0.082
-0.143,-0.218,-0.017
-0.007,-0.05,-0.036
0.084,0.057,-0.008
0.233,0.145,-0.058
-0.545,0.277,0.339
-0.537,-0.161,0.074
0.119,0.081,0.337
0.006,0.126,0.249
-0.054,0.966,-0.291
-0.22,0.837,-0.049
-0.528,0.883,-0.145
1.204,0.226,-1.194
-0.198,-0.322,-1.484
1.729,-0.268,-1.116
-0.042,-0.536,-0.531
-0.094,-0.907,-0.7
-0.098,-0.585,0.029
-0.312,-0.472,-0.237
-0.352,-1.486,0.791
-0.22,-1.36,0.873
0.408,-0.875,1.069
-2.211,0.315,1.615
-4.642,2.696,1.352
0.863,0.134,-0.1
-0.04,-0.021,-0.043
-0.23,0.435,0.2
0.008,1.14,-0.61
-0.79,1.022,0.403
0.263,-0.133,0.424
1.02,-0.78,0.428
2.33,-1.634,-0.614
0.085,2.151,-1.153
-1.299,1.942,-2.529
-1.361,1.521,-1.248
-0.776,0.387,-0.416
-0.38,-0.071,0.245
0.854,-1.189,-0.089
0.035,-0.084,0.919
-0.248,0.739,-0.425
-0.571,0.615,-1.106
0.474,-1.24,0.223
2.654,-2.629,2.561
-0.734,-0.929,-0.069
-2.219,-0.218,0.916
-1.711,-0.46,1.069
-1.334,1.692,2.531
-1.659,0.636,0.028
-1.081,0.42,0.477
-2.601,3.623,0.676
-5.127,5.678,2.442
-0.642,3.92,11.055
23.915,-12.481,12.535
30.501,38.676,19.511
0.538,-28.818,24.615
-39.608,-4.232,18.108
2.828,13.272,-20.913
1.573,3.324,-14.18
-1.794,1.729,-10.482
-1.757,2.404,-5.108
-1.259,3.166,0.335
-0.071,1.844,2.516
3.344,1.51,5.452
2.993,-0.431,6.249
3.652,-0.732,6.954
0.777,-1.559,4.36
0.728,0.254,5.355
0.944,-2.706,1.083
-0.343,-0.303,1.82
-0.478,-1.251,1.132
