acc_x,acc_y,acc_z
0.275,0.561,-0.534
1.549,0.918,-0.296
-0.052,1.672,0.94
-0.685,0.972,2.942
-1.293,0.102,2.881
-2.035,-0.397,2.675
-1.466,-2.766,8.277
-0.42,1.949,11.243
1.085,3.419,13.171
6.797,9.913,14.252
2.378,10.663,14.362
3.249,8.276,4.963
-0.165,20.92,12.599
-4.195,22.903,-9.573
0.113,0.51,-5.891
-3.049,1.574,-1.427
-0.395,1.529,-0.441
-0.204,0.147,0.512
0.517,0.702,0.568
-0.094,1.148,0.162
-0.067,0.624,1.327
0.703,0.402,0.854
0.091,0.718,0.137
-0.237,0.21,0.455
-0.576,0.86,0.555
0.306,0.407,0.332
0.102,0.147,0.077
-0.38,0.359,0.258
-0.657,0.747,0.269
-0.275,0.132,-0.143
-1.639,0.388,-0.229
-0.115,0.925,0.354
-0.125,0.172,-0.288
-1.637,0.323,0.553
-1.063,1.593,0.324
-0.27,-0.192,0.31
1.495,-0.475,-1.528
-1.039,-0.211,0.132
-0.587,1.501,-0.926
-0.247,-0.95,-0.198
0.191,0.168,-1.149
-2.156,0.544,0.203
1.107,1.708,0.244
-0.175,0.711,0.808
-0.199,1.188,1.083
0.522,-0.496,0.325
-0.322,0.55,2.001
0.567,-0.169,0.622
0.196,0.344,0.533
-0.637,-0.45,0.707
-0.638,0.403,0.96
0.601,-0.07,0.423
-0.386,0.198,0.669
0.072,-0.354,-0.061
-0.75,0.23,-0.586
0.976,-0.411,-1.183
0.598,-1.782,-1.212
-0.402,-1.463,-1.275
0.942,0.264,0.119
-1.716,0.763,0.689
-0.678,1.489,0.607
-1.551,1.69,-0.642
2.561,-0.276,-0.465
-0.205,0.385,0.044
0.557,0.192,-1.003
-0.646,0.285,-0.169
0.257,-0.288,-0.498
-0.392,0.355,-0.484
-0.093,2.383,-2.118
-0.38,1.154,-3.034
-0.91,3.135,-6.168
0.931,-1.14,-2.814
1.08,2.283,1.58
-4.837,0.709,0.967
3.414,-0.263,0.376
0.07,-0.281,-0.247
1.158,0.966,-0.361
1.544,0.036,-0.348
0.497,-1.165,1.006
-1.934,-2.512,3.437
-5.145,-4.807,12.679
-6.235,0.547,15.768
2.371,9.58,18.334
4.989,7.333,23.632
2.841,35.745,3.689
4.358,-29.002,-0.378
-36.561,18.108,10.784
-0.393,7.102,-6.88
6.526,2.942,-5.811
-4.885,0.261,-5.009
-4.532,4.053,-3.33
-1.496,1.975,-1.752
-2.859,0.715,-1.045
-1.045,1.115,-0.185
-0.332,-0.304,-0.546
-1.025,0.681,0.475
-0.526,-0.336,0.44
0.21,0.262,0.725
-0.242,0.268,0.221
0.494,0.527,0.139
-0.615,0.322,0.113
-0.033,0.053,0.369
-0.293,0.444,0.099
-0.616,0.142,0.013
-0.291,0.373,-0.03
-0.652,0.049,-0.84
-1.361,0.784,-0.006
0.573,0.832,0.099
-0.001,1.028,-0.293
-0.522,-0.296,-0.651
0.457,-0.293,-0.973
1.202,0.946,-1.256
-1.71,-0.303,-0.003
0.428,1.371,-0.482
-1.069,0.261,0.255
-0.107,1.215,-0.132
-1.558,0.175,0.874
0.815,0.015,-0.478
-0.604,1.401,0.949
-0.747,-0.313,0.632
-0.989,0.844,0.611
-0.853,0.49,2.102
1.025,-0.565,0.373
-1.401,0.066,0.565
-0.712,1.029,2.271
-1.47,-1.234,3.868
-1.697,-1.816,5.153
