acc_x,acc_y,acc_z
-0.138,0.009,-14.281
-0.901,-0.11,-6.117
-0.337,-0.336,0.067
0.201,-0.195,0.62
-0.245,0.497,1.365
-1.015,0.44,0.534
-0.237,-0.042,0.483
-0.752,-0.297,0.564
-0.216,0.597,0.126
0.45,0.323,0.184
-0.404,0.314,-0.134
0.637,0.304,0.138
-0.096,0,-0.262
0.538,0.015,0.065
0.042,-0.349,-0.187
0.066,0.242,0.14
-0.091,0.268,-0.342
-0.087,0.19,0.636
-0.124,0.055,0.326
0.091,0.117,0.234
-0.068,0.103,0.346
0.206,0.052,0.843
-0.21,0.134,0.339
-0.336,0.004,1.082
0.213,0.425,0.285
-0.74,0.061,0.702
-1.181,-0.058,0.135
-1.871,-3.672,0.636
-0.731,-2.761,1.019
-4.493,-16.663,0.878
-3.885,-1.045,0.533
-25.384,29.963,0.927
-0.921,8.105,0.923
5.761,0.016,0.692
3.391,-0.294,0.739
1.294,0.392,0.653
-0.088,-1.004,0.192
-0.781,0.622,-0.212
-0.529,-0.084,-0.418
-0.956,-0.662,-0.53
-0.098,0.266,-0.515
0.163,0.272,-0.316
-0.378,0.334,-0.281
0.448,0.699,-0.144
-0.803,0.617,0.003
-0.436,0.4,0.252
-0.42,0.209,0.683
-0.539,0.13,1.71
-0.496,0.56,2.121
-0.382,-0.632,3.819
0.658,-0.38,7.449
-0.459,-0.465,11.337
0.083,-0.368,1.728
-0.167,-0.407,-12.887
-0.586,-0.172,-7.24
-0.297,-0.393,-2.894
-0.764,0.089,-0.836
0.119,0.155,1.047
-1.263,-0.466,0.857
0.108,-0.257,1.153
-0.458,-0.003,1.271
-0.406,-0.538,0.811
-0.262,-0.398,0.581
0.095,-0.297,0.463
-0.274,-0.205,0.168
0.46,0.67,-0.054
-0.602,0.696,0.196
0.184,-0.024,-0.069
-0.347,0.34,0.191
0.108,0.011,-0.114
-0.074,0.158,-0.066
0.001,0.049,-0.309
0.094,0.387,0.319
-0.126,0.143,0.452
0.306,0.191,0.918
-0.167,-0.005,0.69
0.179,-0.054,0.741
-0.039,0.115,0.347
0.138,0.045,0.629
-0.388,-0.236,0.204
-0.078,-0.584,0.433
0.44,-1.347,0.743
0.678,-1.002,0.441
-2.79,-0.875,0.962
-2.98,13.643,1.606
-2.047,16.725,1.134
-0.941,6.068,0.847
3.188,1.192,0.527
-0.559,1.58,0.519
0.646,-0.352,0.45
-0.519,-0.749,0.055
-0.765,-0.621,0.044
-0.289,-0.568,-0.111
-0.207,-0.286,-0.349
-0.53,-0.784,0.048
0.034,-0.296,-0.14
-0.053,0.02,-0.072
-0.645,0.173,-0.144
0.066,0.08,-0.12
-0.52,0.37,-0.293
0.073,0.783,-0.166
-0.916,0.43,-0.022
0.115,-0.021,0.49
-0.706,0.263,0.672
-0.148,0.553,1.282
-0.453,-0.723,1.614
0.012,-0.803,2.382
-0.603,-0.233,6.861
-0.057,-0.313,10.798
-0.712,-0.34,10.186
0.344,-0.448,4.239
0,-0.145,-9.636
-0.376,0.045,-17.942
-0.069,0.133,-6.37
-0.446,-0.29,-1.229
0.09,-0.618,0.335
0.643,0.246,0.955
-0.801,-0.108,0.171
-0.576,-0.157,1.522
-0.056,-0.138,1.075
-0.632,0.182,1.505
-0.101,0.346,0.856
0.065,0.154,-0.519
-0.157,-0.009,-0.667
0.151,0.057,-1.169
-0.023,0.199,0.294
0.102,0.078,0.504
-0.041,0.055,0.79
0.191,0.138,0.891
0.035,-0.02,0.394
0.137,0.241,1.135
-0.104,0.32,1.154
0.082,0.204,0.491
-0.002,0.188,0.803
-0.219,0.262,0.617
-0.812,-0.7,1.578
0.001,-0.022,0.29
-0.463,0.15,0.469
0.053,-0.906,0.912
0.536,-4.83,-0.012
-4.576,-5.504,0.633
-7.109,-1.09,0.747
-2.899,16.867,1.069
-19.522,22.484,-0.197
5.494,7.01,1.025
2.731,0.552,0.536
0.578,0.733,0.499
0.416,0.766,0.359
0.425,-0.849,0.041
-1.274,0.321,-0.202
-0.201,-0.093,-0.02
-0.378,-0.631,0.272
-0.45,-0.724,0.167
-0.394,-0.288,-0.199
-1.114,0.666,-0.189
-1.654,1.085,-0.079
-1.368,2.035,-0.122
-0.809,0.325,-0.249
0.183,-0.602,-0.031
-0.316,-0.062,-0.248
-0.623,-0.864,-0.158
-0.1,0.166,-0.195
-0.927,-0.845,0.122
0.201,-0.19,0.268
-0.932,-0.747,0.159
0.593,-0.153,0.166
-0.927,-0.61,-0.138
0.432,0.416,-0.11
-1.442,-0.387,-0.274
-0.554,0.003,0.009
-0.441,0.098,1.608
-0.876,-0.554,1.176
0.631,-0.369,6.96
0.099,0.284,5.741
0.261,0.278,8.853
-0.814,-0.253,12.427
-0.001,0.312,-7.246
-0.833,0.467,-16.464
-0.475,0.833,-9.28
-0.742,0.215,-1.453
-0.07,-0.132,-0.068
-0.245,0.248,1.774
0.137,0.435,1.808
0.099,-0.112,0.71
0.374,-0.399,0.557
0.189,0.118,0.505
0.037,0.181,-0.32
0.242,0.261,-0.427
-0.178,0.103,-0.884
0.134,0.284,0.171
0.101,0.052,0.3
-0.03,-0.097,1.337
