acc_x,acc_y,acc_z
0.404,-0.412,0.118
-0.129,-0.801,-0.102
1.022,-0.577,-0.087
0.852,0.175,-0.626
-1.083,0.326,-0.134
-1.491,0.622,-0.598
-0.087,0.418,0.275
0.342,-0.333,0.55
0.686,0.582,0.062
-0.02,-0.235,-0.029
-0.792,0.858,-0.129
1.275,0.212,-0.41
-0.257,-0.418,-0.866
1.121,1.039,0.245
0.159,0.37,3.122
9.983,-21.546,12.169
23.172,0.281,33.411
-19.828,-10.944,-6.796
-2.78,3.014,33.383
0.692,24.83,-20.746
3.557,1.045,-10.416
-6.492,6.97,-2.992
-0.109,1.876,-1.195
0.929,-1.073,1.219
-0.113,1.422,-0.411
0.81,0.563,-0.316
-0.66,1.407,0.123
-0.692,2.411,-0.669
0.314,-0.453,0.725
-0.46,-1.189,1.231
3.054,0.039,0.076
0.574,-0.811,0.655
-0.025,0.167,0.815
1.581,-0.17,0.01
-1.24,-0.324,-0.251
-0.402,-0.905,-0.465
-0.689,0.498,0.722
0.805,-0.117,-0.114
-0.709,0.528,-0.146
-0.304,0.321,-0.648
-0.501,0.666,-0.293
-0.164,0.421,-0.469
-0.187,-0.109,-0.218
0.022,0.308,0.57
-0.011,-0.036,-0.684
0.438,0.206,1.201
0.207,-0.232,-0.671
0.567,0.293,0.425
-0.179,0.495,-0.352
-0.068,-0.017,0.043
0.07,0.328,-0.872
-0.206,-0.029,0.3
0.114,-0.37,-1.338
-0.097,1.009,1.252
0.578,0.434,0.051
-0.354,-0.58,0.241
0.215,-0.446,1.54
0.67,-0.511,0.252
-0.379,-0.372,0.246
0.309,-0.005,-0.005
0.247,0.097,-0.274
-0.133,0.439,-0.227
-0.367,0.35,-0.135
1.021,-0.088,-0.285
-0.915,0.425,1.077
0.304,-0.486,-0.035
0.032,-0.189,0.075
-0.562,0.504,0.039
0.55,0.227,-0.325
-0.89,0.632,-0.971
-0.053,0.854,-0.545
-0.268,0.42,-1.012
-0.119,-0.219,-0.138
0.391,-0.264,0.269
0.55,-0.621,0.009
0.29,-0.607,-0.315
1.375,-0.305,-0.199
-0.261,-0.124,-0.271
0.102,0.947,-0.398
-1.45,0.376,0.071
-0.78,-0.07,0.396
-0.637,-0.33,0.101
-0.287,-0.381,0.497
0.744,-0.586,-0.101
-1.563,-0.709,0.014
0.369,0.632,-0.023
2.23,0.319,-0.162
-1.416,0.294,0.082
1.605,0.172,-0.638
-0.407,0.078,-0.034
0.091,0.191,0.97
0.785,-0.767,0.501
3.187,-2.365,5.537
21.774,-23.271,16.225
16.725,16.368,34.133
-3.624,5.198,10.087
2.515,20.582,21.684
-5.699,19.012,-23.394
3.139,-0.075,-10.641
-8.568,8.128,-1.246
-1.244,1.155,0.856
1.811,0.726,0.514
0.303,0.207,0.597
0.034,-0.486,0.281
1.089,-0.18,1.204
0.258,-0.233,0.404
-0.361,1.43,-0.241
-0.059,1.402,-0.49
-0.741,1.337,0.434
0.663,0.489,-0.251
-0.913,-0.343,-0.048
-0.656,1.435,-0.37
0.283,-0.287,-0.972
-0.372,0.218,0.46
0.763,-0.116,-1.153
-1.014,-1.005,0.45
0.788,-0.422,1.484
-0.517,-0.957,-0.062
0.111,-0.168,1.449
0.72,0.288,-0.021
-0.783,-0.289,0.232
0.432,0.459,1.061
-0.494,0.025,-0.153
-0.24,-0.051,-0.375
0.468,0.668,0.199
-0.964,0.369,-0.427
-0.284,0.549,0.514
-0.387,0.46,-0.456
-0.923,0.69,0.036
0.67,0.375,-0.044
-0.769,0.053,-0.016
-0.072,-0.071,0.263
-0.182,-0.071,0.356
0.428,0.191,0.259
-0.39,0.064,-0.002
0.029,0.142,-0.091
0.077,0.096,-0.154
1.855,-0.733,-0.077
-0.387,0.004,-0.256
0.094,-0.123,0.043
-0.114,0.135,0.082
0.14,0.015,-0.098
0.146,0.37,-0.077
-0.137,0.123,-0.367
0.093,0.227,-0.19
-0.239,-0.048,-0.361
-0.183,0.127,-0.079
-0.092,0.038,-0.057
0.082,0.016,0.047
-0.083,0.023,-0.141
-0.059,0.02,-0.113
0.038,0.003,-0.074
-0.084,-0.06,-0.075
0.021,0.203,0.155
-0.186,-0.102,-0.342
-0.538,-0.286,-0.539
0.009,0.148,0.537
-0.307,0.117,-0.104
0.055,0.204,0.214
-0.571,0.182,-0.015
-0.531,0.816,-0.17
0.063,0.353,-0.196
-0.797,0.439,-0.49
0.805,-0.283,0.537
0.052,-0.178,-0.574
-0.713,0.547,0.327
0.895,0.225,-0.624
-0.764,-0.558,-0.632
0.687,-1.088,0.216
0.115,-0.698,-0.273
2.676,-1.013,-0.155
-0.489,-0.094,0.176
0.9,1.371,-0.223
-0.741,0.611,-0.519
-0.624,-0.321,0.378
-0.796,0.132,0.378
0.244,0.125,-0.349
0.433,0.21,-0.136
0.427,0.049,-0.46
0.28,0.251,-0.04
2.837,-2.849,6.783
12.188,-22.892,9.662
9.023,36.523,24.819
-12.236,35.943,-6.97
-3.279,14.469,-11.297
1.54,-0.215,-10.745
-5.573,7.227,-0.015
-0.947,1.186,2.197
1.81,-1.131,0.954
0.05,-0.212,-0.27
-0.295,-0.09,1.046
0.541,0.022,0.321
-0.971,-0.311,0.042
-0.303,0.311,0.332
-0.085,0.055,0.431
-0.829,-0.276,0.455
-0.46,-1.128,0.142
-0.853,0.113,0.79
-0.578,-0.293,0.277
-1.65,0.276,0.654
-0.596,0.388,-0.492
-0.916,0.297,1.415
-0.045,0.265,0.226
1.369,-0.316,-0.198
0.352,0.991,-0.18
1.313,0.315,-1.555
0.906,0.831,0.203
0.902,0.637,-1.691
0.905,0.138,0.049
0.432,0.239,-0.289
0.781,0.221,0.135
-0.095,-0.036,-0.696
-1.04,0.065,0.472
1.572,2.808,-1.968
1.43,1.08,-0.618
-1.614,0.007,0.356
0.665,-2.026,1.854
-1.07,-3.204,0.323
-0.846,0.776,1.115
0.489,0.273,-0.46
-0.488,0.3,0.651
1.948,-0.206,0.515
-0.941,0.279,0.5
0.08,-0.729,0.008
0.015,0.043,0.166
0.279,-0.374,-0.132
-0.154,-0.31,0.323
0.321,-0.082,0.035
0.227,-0.826,-0.558
-0.379,-0.674,0.061
0.68,-0.812,-0.61
-0.474,0.922,-0.088
-0.055,0.614,0.026
0.003,0.538,0.203
-1.568,0.576,0.085
0.101,0.341,0.315
0.219,0.361,-0.148
-0.432,0.303,-0.383
0.972,0.127,-0.014
-0.246,-0.636,-0.247
0.407,-0.342,-0.094
-0.243,1.151,-0.254
-0.811,0.813,-0.262
-0.196,-0.618,-0.042
0.681,0.143,-0.002
-0.315,0.259,-0.04
-0.352,0.302,-0.153
-0.182,-0.107,0.025
-0.033,-0.071,0.061
-0.002,-0.005,-0.347
-0.191,0.129,-0.05
0.119,0.141,-0.189
-0.408,-0.678,-0.054
0.988,-0.378,0.066
0.154,-1.035,0.218
0.635,-0.571,0.543
-1.817,0.01,0.2
0.597,1.105,-0.265
-0.367,0.569,-0.364
-0.607,0.031,0.035
-0.411,0.311,0.387
-0.392,-0.029,-0.066
-0.397,0.499,0.359
-0.761,0.048,-0.095
0.667,0.176,-0.14
0.424,-1.067,0.415
1.57,0.101,1.51
1.045,0.335,0.925
-1.267,0.144,-0.652
1.461,-0.167,1.828
1.879,-1.206,1.759
3.095,-3.326,1.54
15.697,-13.832,12.687
28.514,5.084,22.89
7.59,28.48,23.551
-10.4,19.035,-21.306
2.999,4.114,-14.099
-5.416,4.127,-1.798
-1.081,0.833,0.541
-0.505,-0.477,0.462
0.269,0.007,1.314
0.524,0.906,0.546
-0.62,0.682,0.29
0.613,0.408,0.219
-1.408,1.215,-0.716
-1.067,0.842,-1.333
-1.12,1.036,-0.609
0.704,1.232,-0.693
-1.527,0.717,0.852
-0.129,-0.087,0.589
0.403,0.947,0.32
-0.584,1.771,1.816
-1.012,1.414,2.342
0.031,0.413,1.471
-1.16,-0.059,0.357
0.191,0.312,0.546
-0.115,-1.398,0.781
-0.233,-0.816,0.743
-0.03,-0.29,-0.202
-0.215,0.601,0.6
0.952,-0.485,0.477
0.199,0.941,-0.632
0.171,1.558,0.959
0.337,-0.422,0.283
1.163,-0.561,0.568
0.512,-0.85,0.124
2.21,-0.233,0.486
-1.005,-0.608,-0.661
0.323,-0.172,-0.124
0.025,-0.334,-0.606
-0.373,0.172,-0.131
0.699,-0.403,-0.632
-0.487,0.11,-0.59
-0.327,0.31,-0.976
-0.703,0.15,-0.614
0.475,0.18,-0.222
-0.464,-0.015,-0.258
0.124,0.55,0.309
-0.856,0.495,0.868
0.176,0.262,-0.285
-0.488,0.16,-0.186
-0.211,0.32,0.41
0.443,-0.126,0.14
-0.024,0.167,0.281
-0.603,1.237,-0.013
-1.088,0.087,-0.651
-0.602,-0.239,-0.219
-0.23,-1.459,-0.394
0.399,-1.087,-0.75
0.665,-0.267,-0.388
0.083,-0.145,-0.692
0.678,0.642,-0.283
0.111,0.044,-0.114
0.235,0.275,-0.609
-0.597,0.653,-0.495
-0.367,0.249,0.053
1.041,-0.443,2.388
-0.111,-0.425,1.197
5.308,-5.285,5.837
16.663,-20.13,23.605
-28.013,7.617,-2.838
5.275,43.919,17.557
-13.677,23.685,-14.844
3.053,12.27,-10.12
-5.064,3.339,-9.333
-4.104,5.701,-1.788
-1.502,3.837,0.843
1.299,0.286,1.762
0.047,-0.171,0.809
0.49,-0.213,1.168
0.203,0.764,0.311
0.621,0.669,0.141
-0.658,0.338,1.134
-0.244,0.237,0.329
-1.053,0.485,0.893
1.179,-0.175,-0.101
-1.173,-0.813,0.84
-0.334,0.85,-0.469
-0.346,0.189,0.656
-0.453,-0.145,-0.16
0.739,0.712,0.04
-1.093,-0.335,-0.28
0.305,0.118,0.443
-0.304,0.46,-0.067
-0.612,-0.078,0.151
0.362,0.215,0.267
0.182,0.199,-0.405
0.446,0.249,-0.557
0.552,-0.614,-0.316
0.853,0.086,-0.045
0.329,1.107,1.222
-1.298,1.036,-0.052
0.393,0.291,-0.265
0.074,0.094,-0.614
-0.884,-0.462,0.167
0.42,0.191,-0.63
-0.732,-0.06,-0.047
1.577,-0.446,-0.541
-0.79,0.959,-0.109
0.031,0.183,0.144
-0.737,0.331,-0.245
-0.716,-0.577,1.485
1.867,-0.603,0.4
-0.734,-0.407,0.019
-0.193,-0.038,0.582
-0.812,0.677,0.56
-0.468,0.213,0.307
-0.472,0.013,0.072
-0.274,-0.156,-0.301
0.252,0.133,-0.65
-0.358,0.593,-0.138
-0.162,0.476,-0.617
-0.245,0.026,0.048
0.125,-0.143,0.213
0.369,-0.271,-0.117
0.397,-0.069,0.051
0.149,-0.269,-0.068
0.219,-0.114,-0.044
-0.19,-0.178,-0.223
0.223,0.228,-0.337
-0.287,0.054,-0.092
